OrderDetailID,OrderID,ProductID,Quantity
401,301,201,1
402,302,202,2
403,303,203,3
404,304,204,4
405,305,205,5
406,306,206,1
407,307,207,2
408,308,208,3
409,309,209,4
410,310,210,5
411,311,211,1
412,312,212,2
413,313,213,3
414,314,214,4
415,315,215,5
416,316,216,1
417,317,217,2
418,318,218,3
419,319,219,4
420,320,220,5
421,321,221,1
422,322,222,2
423,323,223,3
424,324,224,4
425,325,225,5
426,326,226,1
427,327,227,2
428,328,228,3
429,329,229,4
430,330,230,5
431,331,231,1
432,332,232,2
433,333,233,3
434,334,234,4
435,335,235,5
436,336,236,1
437,337,237,2
438,338,238,3
439,339,239,4
440,340,240,5
441,341,241,1
442,342,242,2
443,343,243,3
444,344,244,4
445,345,245,5
446,346,246,1
447,347,247,2
448,348,248,3
449,349,249,4
450,350,250,5
451,351,201,1
452,352,202,2
453,353,203,3
454,354,204,4
455,355,205,5
456,356,206,1
457,357,207,2
458,358,208,3
459,359,209,4
460,360,210,5
461,361,211,1
462,362,212,2
463,363,213,3
464,364,214,4
465,365,215,5
466,366,216,1
467,367,217,2
468,368,218,3
469,369,219,4
470,370,220,5
471,371,221,1
472,372,222,2
473,373,223,3
474,374,224,4
475,375,225,5
476,376,226,1
477,377,227,2
478,378,228,3
479,379,229,4
480,380,230,5
481,381,231,1
482,382,232,2
483,383,233,3
484,384,234,4
485,385,235,5
486,386,236,1
487,387,237,2
488,388,238,3
489,389,239,4
490,390,240,5
491,391,241,1
492,392,242,2
493,393,243,3
494,394,244,4
495,395,245,5
496,396,246,1
497,397,247,2
498,398,248,3
499,399,249,4
500,400,250,5
501,401,201,1
502,402,202,2
503,403,203,3
504,404,204,4
505,405,205,5
506,406,206,1
507,407,207,2
508,408,208,3
509,409,209,4
510,410,210,5
511,411,211,1
512,412,212,2
513,413,213,3
514,414,214,4
515,415,215,5
516,416,216,1
517,417,217,2
518,418,218,3
519,419,219,4
520,420,220,5
521,421,221,1
522,422,222,2
523,423,223,3
524,424,224,4
525,425,225,5
526,426,226,1
527,427,227,2
528,428,228,3
529,429,229,4
530,430,230,5
531,431,231,1
532,432,232,2
533,433,233,3
534,434,234,4
535,435,235,5
536,436,236,1
537,437,237,2
538,438,238,3
539,439,239,4
540,440,240,5
541,441,241,1
542,442,242,2
543,443,243,3
544,444,244,4
545,445,245,5
546,446,246,1
547,447,247,2
548,448,248,3
549,449,249,4
550,450,250,5
551,451,201,1
552,452,202,2
553,453,203,3
554,454,204,4
555,455,205,5
556,456,206,1
557,457,207,2
558,458,208,3
559,459,209,4
560,460,210,5
561,461,211,1
562,462,212,2
563,463,213,3
564,464,214,4
565,465,215,5
566,466,216,1
567,467,217,2
568,468,218,3
569,469,219,4
570,470,220,5
571,471,221,1
572,472,222,2
573,473,223,3
574,474,224,4
575,475,225,5
576,476,226,1
577,477,227,2
578,478,228,3
579,479,229,4
580,480,230,5
581,481,231,1
582,482,232,2
583,483,233,3
584,484,234,4
585,485,235,5
586,486,236,1
587,487,237,2
588,488,238,3
589,489,239,4
590,490,240,5
591,491,241,1
592,492,242,2
593,493,243,3
594,494,244,4
595,495,245,5
596,496,246,1
597,497,247,2
598,498,248,3
599,499,249,4
600,500,250,5
601,501,201,1
602,502,202,2
603,503,203,3
604,504,204,4
605,505,205,5
606,506,206,1
607,507,207,2
608,508,208,3
609,509,209,4
610,510,210,5
611,511,211,1
612,512,212,2
613,513,213,3
614,514,214,4
615,515,215,5
616,516,216,1
617,517,217,2
618,518,218,3
619,519,219,4
620,520,220,5
621,521,221,1
622,522,222,2
623,523,223,3
624,524,224,4
625,525,225,5
626,526,226,1
627,527,227,2
628,528,228,3
629,529,229,4
630,530,230,5
631,531,231,1
632,532,232,2
633,533,233,3
634,534,234,4
635,535,235,5
636,536,236,1
637,537,237,2
638,538,238,3
639,539,239,4
640,540,240,5
641,541,241,1
642,542,242,2
643,543,243,3
644,544,244,4
645,545,245,5
646,546,246,1
647,547,247,2
648,548,248,3
649,549,249,4
650,550,250,5
651,551,201,1
652,552,202,2
653,553,203,3
654,554,204,4
655,555,205,5
656,556,206,1
657,557,207,2
658,558,208,3
659,559,209,4
660,560,210,5
661,561,211,1
662,562,212,2
663,563,213,3
664,564,214,4
665,565,215,5
666,566,216,1
667,567,217,2
668,568,218,3
669,569,219,4
670,570,220,5
671,571,221,1
672,572,222,2
673,573,223,3
674,574,224,4
675,575,225,5
676,576,226,1
677,577,227,2
678,578,228,3
679,579,229,4
680,580,230,5
681,581,231,1
682,582,232,2
683,583,233,3
684,584,234,4
685,585,235,5
686,586,236,1
687,587,237,2
688,588,238,3
689,589,239,4
690,590,240,5
691,591,241,1
692,592,242,2
693,593,243,3
694,594,244,4
695,595,245,5
696,596,246,1
697,597,247,2
698,598,248,3
699,599,249,4
700,600,250,5
701,301,201,1
702,302,202,2
703,303,203,3
704,304,204,4
705,305,205,5
706,306,206,1
707,307,207,2
708,308,208,3
709,309,209,4
710,310,210,5
711,311,211,1
712,312,212,2
713,313,213,3
714,314,214,4
715,315,215,5
716,316,216,1
717,317,217,2
718,318,218,3
719,319,219,4
720,320,220,5
721,321,221,1
722,322,222,2
723,323,223,3
724,324,224,4
725,325,225,5
726,326,226,1
727,327,227,2
728,328,228,3
729,329,229,4
730,330,230,5
731,331,231,1
732,332,232,2
733,333,233,3
734,334,234,4
735,335,235,5
736,336,236,1
737,337,237,2
738,338,238,3
739,339,239,4
740,340,240,5
741,341,241,1
742,342,242,2
743,343,243,3
744,344,244,4
745,345,245,5
746,346,246,1
747,347,247,2
748,348,248,3
749,349,249,4
750,350,250,5
751,351,201,1
752,352,202,2
753,353,203,3
754,354,204,4
755,355,205,5
756,356,206,1
757,357,207,2
758,358,208,3
759,359,209,4
760,360,210,5
761,361,211,1
762,362,212,2
763,363,213,3
764,364,214,4
765,365,215,5
766,366,216,1
767,367,217,2
768,368,218,3
769,369,219,4
770,370,220,5
771,371,221,1
772,372,222,2
773,373,223,3
774,374,224,4
775,375,225,5
776,376,226,1
777,377,227,2
778,378,228,3
779,379,229,4
780,380,230,5
781,381,231,1
782,382,232,2
783,383,233,3
784,384,234,4
785,385,235,5
786,386,236,1
787,387,237,2
788,388,238,3
789,389,239,4
790,390,240,5
791,391,241,1
792,392,242,2
793,393,243,3
794,394,244,4
795,395,245,5
796,396,246,1
797,397,247,2
798,398,248,3
799,399,249,4
800,400,250,5
801,401,201,1
802,402,202,2
803,403,203,3
804,404,204,4
805,405,205,5
806,406,206,1
807,407,207,2
808,408,208,3
809,409,209,4
810,410,210,5
811,411,211,1
812,412,212,2
813,413,213,3
814,414,214,4
815,415,215,5
816,416,216,1
817,417,217,2
818,418,218,3
819,419,219,4
820,420,220,5
821,421,221,1
822,422,222,2
823,423,223,3
824,424,224,4
825,425,225,5
826,426,226,1
827,427,227,2
828,428,228,3
829,429,229,4
830,430,230,5
831,431,231,1
832,432,232,2
833,433,233,3
834,434,234,4
835,435,235,5
836,436,236,1
837,437,237,2
838,438,238,3
839,439,239,4
840,440,240,5
841,441,241,1
842,442,242,2
843,443,243,3
844,444,244,4
845,445,245,5
846,446,246,1
847,447,247,2
848,448,248,3
849,449,249,4
850,450,250,5
851,451,201,1
852,452,202,2
853,453,203,3
854,454,204,4
855,455,205,5
856,456,206,1
857,457,207,2
858,458,208,3
